trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.7, 'e': 0.01077526366430583}",20,0,32.57269107600946,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.009697737297875247}",30,22,13.656684003405516,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.008727963568087723}",20,10,2.5664743276112603,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.00785516721127895}",20,15,10.026528510060597,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.007069650490151055}",30,15,25.040206956684898,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.00636268544113595}",20,0,31.54113112951638,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.7, 'e': 0.0057264168970223555}",20,3,23.074646659376356,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.00515377520732012}",35,8,43.76323037496002,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.004638397686588108}",30,16,25.537129001073914,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.004174557917929297}",30,7,39.16384265480807,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.0037571021261363674}",25,13,17.7789351081554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.003381391913522731}",25,11,25.733406055009613,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.0030432527221704577}",20,7,22.7927807051254,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.002738927449953412}",25,13,20.787339093502695,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.002465034704958071}",25,5,33.01075223992433,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.002218531234462264}",20,14,12.286429065654197,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.0019966781110160375}",25,15,19.448862597603615,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.001797010299914434}",20,10,19.027865220159427,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.7, 'e': 0.0016173092699229906}",20,11,16.31067070330374,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.0014555783429306916}",25,17,15.925484044254006,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.0013100205086376223}",20,13,9.18262799889287,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.0011790184577738603}",20,4,25.06062551690877,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.0010611166119964743}",20,0,18.81236784139483,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.7, 'e': 0.0009550049507968268}",20,14,12.905273079775647,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.0008595044557171441}",25,17,16.891338644002094,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.0007735540101454297}",20,8,23.233307499793685,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.0006961986091308868}",30,19,20.37032148098965,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.0006265787482177981}",35,21,23.48402691557042,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
